date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:52	22089/22089	---M--	200	added ('OK')	image/png	etag:%225649-636803649b851%22	https://supernao.zorn.it/images/icon-contact.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/icon-contact.png	(from https://supernao.zorn.it/)
21:10:54	40937/40937	---M-Z	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2019:10:55%20GMT	https://supernao.zorn.it/blog	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/blog.html	(from https://supernao.zorn.it/)
21:10:54	21484/21484	---M--	200	added ('OK')	image/png	etag:%2253ec-636803649b081%22	https://supernao.zorn.it/images/icon-blog.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/icon-blog.png	(from https://supernao.zorn.it/)
21:10:57	330674/330674	---M--	200	added ('OK')	video/mp4	etag:%2250bb2-6250d81b21c40%22	https://supernao.zorn.it/images/naovola.mp4	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/naovola.mp4	(from https://supernao.zorn.it/)
21:10:58	369497/369497	---M--	200	added ('OK')	image/png	etag:%225a359-6368633e9a56a%22	https://supernao.zorn.it/templates/yootheme/cache/c7/pic%205-c7d60235.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/templates/yootheme/cache/c7/pic%205-c7d60235.png	(from https://supernao.zorn.it/)
21:11:00	94268/94268	---M--	200	added ('OK')	image/png	etag:%221703c-624c38e4e9040%22	https://supernao.zorn.it/images/Foto-gruppo/Gabriele_V.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/Foto-gruppo/Gabriele_V.png	(from https://supernao.zorn.it/)
21:11:01	461984/461984	---M--	200	added ('OK')	image/png	etag:%2270ca0-6365d48b3e40f%22	https://supernao.zorn.it/templates/yootheme/cache/d7/Designer-Photoroom-d721c06d.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/templates/yootheme/cache/d7/Designer-Photoroom-d721c06d.png	(from https://supernao.zorn.it/)
21:11:01	76737/76737	---M--	200	added ('OK')	image/png	etag:%2212bc1-624c38e4e9040%22	https://supernao.zorn.it/images/Foto-gruppo/Filippo_Labate_V.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/Foto-gruppo/Filippo_Labate_V.png	(from https://supernao.zorn.it/)
21:11:02	114460/114460	---M--	200	added ('OK')	image/png	etag:%221bf1c-624c38e3f4e00%22	https://supernao.zorn.it/images/Foto-gruppo/Ching_Hoi_V.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/Foto-gruppo/Ching_Hoi_V.png	(from https://supernao.zorn.it/)
21:11:03	81189/81189	---M--	200	added ('OK')	image/png	etag:%2213d25-624c38e4e9040%22	https://supernao.zorn.it/images/Foto-gruppo/Niccolo_Lucidi_V.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/Foto-gruppo/Niccolo_Lucidi_V.png	(from https://supernao.zorn.it/)
21:11:05	175408/175408	---M--	200	added ('OK')	image/png	etag:%222ad30-636748af702ed%22	https://supernao.zorn.it/images/Foto-gruppo/Gabriele_Russo_V.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/Foto-gruppo/Gabriele_Russo_V.png	(from https://supernao.zorn.it/)
